GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jpacman-framework,nl.tudelft.jpacman.game,GameFactory,3,14,0,0,1,4,1,2,1,2
jpacman-framework,nl.tudelft.jpacman.game,Game,6,77,3,7,3,23,4,8,1,6
jpacman-framework,nl.tudelft.jpacman.game,SinglePlayerGame,8,27,2,2,0,10,2,4,0,4
jpacman-framework,nl.tudelft.jpacman.npc,Ghost,2,85,1,5,1,16,1,7,0,5
jpacman-framework,nl.tudelft.jpacman.sprite,EmptySprite,9,3,0,0,4,1,4,1,4,1
jpacman-framework,nl.tudelft.jpacman.sprite,AnimatedSprite,32,144,7,11,4,40,8,12,1,10
jpacman-framework,nl.tudelft.jpacman.sprite,PacManSprites,17,128,1,3,2,32,1,11,0,10
jpacman-framework,nl.tudelft.jpacman.sprite,SpriteStore,8,100,2,8,0,22,2,8,0,5
jpacman-framework,nl.tudelft.jpacman.sprite,ImageSprite,0,122,4,8,0,20,4,9,0,7
jpacman-framework,nl.tudelft.jpacman,Launcher,61,139,5,1,14,33,7,17,4,17
jpacman-framework,nl.tudelft.jpacman,PacmanConfigurationException,9,0,0,0,4,0,2,0,2,0
jpacman-framework,nl.tudelft.jpacman.ui,ScorePanel,15,127,3,9,3,22,3,8,1,4
jpacman-framework,nl.tudelft.jpacman.ui,PacManUiBuilder,55,102,12,6,7,26,11,7,2,7
jpacman-framework,nl.tudelft.jpacman.ui,PacManUI,16,91,4,4,1,26,4,4,0,4
jpacman-framework,nl.tudelft.jpacman.ui,BoardPanel,0,149,0,10,0,30,0,10,0,5
jpacman-framework,nl.tudelft.jpacman.ui,PacKeyListener,26,10,5,1,7,5,6,2,3,2
jpacman-framework,nl.tudelft.jpacman.ui,ButtonPanel,17,37,2,4,3,9,3,3,1,2
jpacman-framework,nl.tudelft.jpacman.board,Square,22,86,7,9,1,21,7,9,0,8
jpacman-framework,nl.tudelft.jpacman.board,Direction,0,69,0,0,0,15,0,4,0,4
jpacman-framework,nl.tudelft.jpacman.board,Board,5,110,1,21,0,18,1,17,0,7
jpacman-framework,nl.tudelft.jpacman.board,BoardFactory.Wall,0,11,0,0,0,5,0,3,0,3
jpacman-framework,nl.tudelft.jpacman.board,Unit,22,98,7,15,0,29,7,14,0,10
jpacman-framework,nl.tudelft.jpacman.board,BoardFactory.Ground,0,11,0,0,0,5,0,3,0,3
jpacman-framework,nl.tudelft.jpacman.board,BoardFactory,4,101,1,7,0,19,1,8,0,5
jpacman-framework,nl.tudelft.jpacman.level,LevelFactory,8,63,1,4,1,15,1,7,0,4
jpacman-framework,nl.tudelft.jpacman.level,CollisionInteractionMap.InverseCollisionHandler,12,0,0,0,5,0,2,0,2,0
jpacman-framework,nl.tudelft.jpacman.level,CollisionInteractionMap,178,0,24,0,44,0,19,0,7,0
jpacman-framework,nl.tudelft.jpacman.level,MapParser,53,275,6,22,12,62,7,19,1,9
jpacman-framework,nl.tudelft.jpacman.level,PlayerFactory,0,19,0,0,0,5,0,3,0,3
jpacman-framework,nl.tudelft.jpacman.level,Level,52,382,12,46,5,89,13,31,1,14
jpacman-framework,nl.tudelft.jpacman.level,Pellet,0,15,0,0,0,6,0,3,0,3
jpacman-framework,nl.tudelft.jpacman.level,Level.NpcMoveTask,0,36,0,2,0,10,0,3,0,2
jpacman-framework,nl.tudelft.jpacman.level,DefaultPlayerInteractionMap,39,0,0,0,13,0,5,0,5,0
jpacman-framework,nl.tudelft.jpacman.level,PlayerCollisions,22,54,6,8,6,20,5,9,1,6
jpacman-framework,nl.tudelft.jpacman.level,Player,0,60,0,6,0,20,0,9,0,6
jpacman-framework,nl.tudelft.jpacman.level,LevelFactory.RandomGhost,8,0,0,0,3,0,2,0,2,0
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Inky,12,84,6,10,2,22,6,6,0,4
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Pinky,12,43,5,5,2,11,5,3,0,3
jpacman-framework,nl.tudelft.jpacman.npc.ghost,GhostFactory,0,38,0,0,0,7,0,5,0,5
jpacman-framework,nl.tudelft.jpacman.npc.ghost,GhostColor,0,44,0,0,0,9,0,1,0,1
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Navigation.Node,3,36,0,2,1,12,1,5,1,4
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Blinky,12,42,5,5,2,11,5,3,0,3
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Clyde,12,79,5,7,2,19,5,4,0,3
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Navigation,37,194,8,30,6,40,6,19,1,5
